year,state,district,party,committee_type,ad_spending
2004,IA,5,dem,1,20576
2004,IA,5,rep,1,92036
2004,IL,6,dem,1,8849
2004,IL,6,dem,5,600
2004,IL,6,rep,1,10415
2004,IL,8,dem,1,25
2004,IL,8,dem,5,1431
2004,IL,8,dem,3,21682
2004,IL,8,dem,2,881605
2004,IL,8,rep,1,650
2004,IL,8,rep,3,90171
2004,IL,8,rep,2,1229008
2004,IL,10,dem,1,41440
2004,IL,10,dem,3,220
2004,IL,10,rep,1,154506
2004,IL,10,rep,5,600
2004,IL,10,rep,3,56
2004,IL,11,dem,1,10032
2004,IL,11,dem,5,600
2004,IL,11,rep,1,680
2004,IL,11,rep,3,59
2004,IL,12,dem,1,16193
2004,IL,12,rep,1,829
2004,IL,13,dem,1,14410
2004,IL,13,rep,1,10881
2004,IL,13,rep,3,56
2004,IL,15,dem,1,37100
2004,IL,15,dem,5,600
2004,IL,15,rep,1,44770
2004,IL,17,dem,1,250
2004,IL,17,dem,5,600
2004,IL,17,rep,1,51991
2004,IN,2,dem,1,212247
2004,IN,2,dem,3,5000
2004,IN,2,rep,1,559017
2004,IN,4,dem,1,5890
2004,IN,4,rep,1,1895
2004,IN,6,dem,1,18038
2004,IN,6,rep,1,265511
2004,IN,8,dem,1,894084
2004,IN,8,rep,1,254842
2004,IN,8,rep,3,27827
2004,IN,8,rep,2,652325
2004,IN,9,dem,1,8039
2004,IN,9,dem,3,12613
2004,IN,9,dem,2,779745
2004,IN,9,rep,1,733866
2004,IN,9,rep,3,7438
2004,IN,9,rep,2,1953102
2004,KS,2,dem,1,599665
2004,KS,2,rep,1,598377
2004,KS,3,dem,1,1713
2004,KS,3,dem,2,694017
2004,KS,3,rep,1,563198
2004,KS,3,rep,3,34564
2004,KS,3,rep,2,769184
2004,KY,3,dem,1,5123
2004,KY,3,dem,2,617117
2004,KY,3,rep,1,7445
2004,KY,3,rep,3,993739
2004,KY,3,rep,2,649360
2004,KY,4,dem,1,796533
2004,KY,4,dem,3,5000
2004,KY,4,dem,2,1990497
2004,KY,4,rep,1,579082
2004,KY,4,rep,3,534
2004,KY,4,rep,2,1838744
2004,LA,7,dem,1,1015344
2004,LA,7,dem,3,36350
2004,LA,7,dem,2,1154056
2004,LA,7,rep,1,1628979
2004,LA,7,rep,2,851821
2004,MA,3,dem,1,17282
2004,MA,3,rep,1,21735
2004,MA,6,dem,1,650
2004,MA,6,rep,1,17865
2004,MA,7,dem,1,317200
2004,MA,7,dem,3,2611
2004,MA,7,rep,1,9187
2004,MA,10,dem,1,754
2004,MA,10,rep,1,42142
2004,MD,1,dem,1,71688
2004,MD,1,rep,1,143004
2004,MD,1,rep,3,4131
2004,MD,3,dem,1,12012
2004,MD,3,rep,1,1875
2004,MD,4,dem,1,23028
2004,MD,4,dem,3,242
2004,MD,4,rep,1,5618
2004,MD,5,dem,1,21742
2004,MD,5,rep,1,34251
2004,MD,7,dem,1,985
2004,MD,7,rep,1,11914
2004,ME,1,dem,1,850
2004,ME,1,rep,1,297434
2004,ME,1,rep,3,56
2004,ME,2,dem,1,135090
2004,ME,2,dem,3,14762
2004,ME,2,rep,1,26632
2004,ME,2,rep,3,56
2004,ME,2,rep,2,8751
2004,MI,4,dem,1,8986
2004,MI,4,rep,1,83747
2004,MI,4,rep,3,1705
2004,MI,5,dem,1,13126
2004,MI,5,dem,3,1287
2004,MI,5,dem,2,5345
2004,MI,5,rep,1,124336
2004,MI,9,dem,1,2804
2004,MI,9,rep,1,91009
2004,MI,9,rep,3,1684
2004,MI,10,dem,1,3059
2004,MI,10,rep,1,10783
2004,MI,10,rep,3,2219
2004,MO,3,dem,1,560832
2004,MO,3,rep,1,138232
2004,MO,3,rep,3,15805
2004,MO,9,dem,1,28603
2004,MO,9,rep,1,6015
2004,MO,9,rep,3,468
2004,MS,2,dem,1,5405
2004,MS,2,dem,2,6664
2004,MS,2,rep,1,102321
2004,MS,2,rep,2,6628
2004,MS,4,dem,1,121346
2004,MS,4,rep,1,6365
2004,MS,4,rep,2,13698
2004,MT,1,dem,1,25435
2004,MT,1,rep,1,287
2004,NC,5,dem,1,266659
2004,NC,5,dem,3,93346
2004,NC,5,rep,1,60973
2004,NC,8,dem,1,103426
2004,NC,8,rep,1,6637
2004,NC,8,rep,3,39022
2004,NC,9,dem,1,10564
2004,NC,9,rep,1,162234
2004,NC,9,rep,3,89
2004,NC,12,dem,1,37775
2004,NC,12,rep,1,27399
2004,NC,13,dem,1,519723
2004,NC,13,rep,1,48348
2004,NC,13,rep,3,89
2004,NC,13,rep,2,9175
2004,NE,1,dem,1,422310
2004,NE,1,dem,3,48377
2004,NE,1,dem,2,337512
2004,NE,1,rep,1,89841
2004,NE,1,rep,3,5595
2004,NE,1,rep,2,547006
2004,NH,1,dem,1,108670
2004,NH,1,rep,1,312701
2004,NH,1,rep,3,56
2004,NH,2,dem,1,2525
2004,NH,2,rep,1,298154
2004,NH,2,rep,3,56
2004,NJ,1,dem,1,175
2004,NJ,1,rep,1,46930
2004,NJ,5,dem,1,15578
2004,NJ,5,rep,1,240584
2004,NJ,5,rep,3,9728
2004,NJ,6,dem,1,15575
2004,NJ,6,rep,1,18656
2004,NJ,7,dem,1,124151
2004,NJ,7,rep,1,1175
2004,NJ,7,rep,3,10573
2004,NJ,8,dem,1,52284
2004,NJ,8,rep,1,32249
2004,NJ,12,dem,1,27525
2004,NJ,12,rep,1,115406
2004,NJ,12,rep,3,5488
2004,NM,1,dem,1,1220433
2004,NM,1,dem,5,18747
2004,NM,1,dem,3,19433
2004,NM,1,dem,2,1250111
2004,NM,1,rep,1,1792966
2004,NM,1,rep,5,7911
2004,NM,1,rep,3,49751
2004,NM,1,rep,2,1012390
2004,NM,2,dem,1,557159
2004,NM,2,dem,3,1676
2004,NM,2,rep,1,875037
2004,NM,2,rep,3,9493
2004,NV,3,dem,1,1575154
2004,NV,3,dem,5,5421
2004,NV,3,dem,3,5000
2004,NV,3,dem,2,765941
2004,NV,3,rep,1,8945
2004,NV,3,rep,3,11349
2004,NV,3,rep,2,438367
2004,NY,1,dem,1,40110
2004,NY,1,dem,3,10780
2004,NY,1,dem,2,375662
2004,NY,1,rep,1,26714
2004,NY,1,rep,3,302
2004,NY,1,rep,2,558415
2004,NY,3,dem,1,13358
2004,NY,3,rep,1,850
2004,NY,4,dem,1,22000
2004,NY,4,rep,1,98967
2004,NY,4,rep,3,4182
2004,NY,8,dem,1,20513
2004,NY,8,rep,1,14473
2004,NY,8,rep,3,56
2004,NY,13,dem,1,102013
2004,NY,13,dem,2,93121
2004,NY,13,rep,1,53178
2004,NY,18,dem,1,61765
2004,NY,18,dem,3,475
2004,NY,18,rep,1,5205
2004,NY,19,dem,1,23791
2004,NY,19,dem,5,245
2004,NY,19,dem,3,356
2004,NY,19,rep,1,193214
2004,NY,19,rep,5,178
2004,NY,19,rep,3,264
2004,NY,23,dem,1,5233
2004,NY,23,rep,1,6410
2004,NY,23,rep,3,606
2004,NY,24,dem,1,10889
2004,NY,24,rep,1,5740
2004,NY,24,rep,5,22000
2004,NY,24,rep,3,11640
2004,NY,26,dem,1,764626
2004,NY,26,rep,1,11085
2004,NY,26,rep,3,59
2004,NY,27,dem,1,1016257
2004,NY,27,dem,3,6142
2004,NY,27,dem,2,1026272
2004,NY,27,rep,1,1250392
2004,NY,27,rep,3,14748
2004,NY,27,rep,2,858389
2004,NY,29,dem,1,337274
2004,NY,29,rep,1,2527
2004,NY,29,rep,3,843
2004,OH,1,dem,1,10018
2004,OH,1,rep,1,62242
2004,OH,1,rep,3,8132
2004,OH,2,dem,1,7521
2004,OH,2,rep,1,31082
2004,OH,2,rep,3,304
2004,OH,3,dem,1,80973
2004,OH,3,rep,1,600
2004,OH,3,rep,3,184
