response_id,word_stem,number,tf,idf,tf_idf
1,belittil,1,0.041666666666666664,6.1675164908883415,0.2569798537870142
1,blatantli,1,0.041666666666666664,4.558078578454241,0.1899199407689267
1,campu,1,0.041666666666666664,2.3388750943992465,0.09745312893330194
1,commun,1,0.041666666666666664,2.583997552432231,0.1076665646846763
1,consid,1,0.041666666666666664,4.375757021660286,0.18232320923584525
1,contraxt,1,0.041666666666666664,6.1675164908883415,0.2569798537870142
1,corrupt,1,0.041666666666666664,5.474369310328396,0.22809872126368316
1,freedom,1,0.041666666666666664,2.255493485460195,0.09397889522750813
1,fund,1,0.041666666666666664,2.1972245773362196,0.0915510240556758
1,ideologi,1,0.041666666666666664,3.1717842173343502,0.13215767572226458
1,infring,1,0.041666666666666664,3.769621218089971,0.15706755075374879
1,inher,1,0.041666666666666664,4.375757021660286,0.18232320923584525
1,insult,1,0.041666666666666664,5.474369310328396,0.22809872126368316
1,lend,1,0.041666666666666664,6.1675164908883415,0.2569798537870142
1,neutral,1,0.041666666666666664,1.5523959740470816,0.06468316558529506
1,school,2,0.08333333333333333,2.8353119807131373,0.23627599839276142
1,sign,1,0.041666666666666664,1.5231255917469686,0.06346356632279035
1,space,1,0.041666666666666664,3.769621218089971,0.15706755075374879
1,stanc,1,0.041666666666666664,3.6826098411003407,0.1534420767125142
1,student,1,0.041666666666666664,1.1370785694959058,0.04737827372899607
1,top,1,0.041666666666666664,4.221606341833028,0.17590026424304284
1,vanderbilt',1,0.041666666666666664,2.9894626605403958,0.12456094418918315
1,wing,1,0.041666666666666664,6.1675164908883415,0.2569798537870142
2,addition,1,0.034482758620689655,3.0320222749591914,0.10455249223997212
2,administr,1,0.034482758620689655,1.9628238714973751,0.06768358177577155
2,agenda,1,0.034482758620689655,3.0764740375300255,0.1060853116389664
2,american,1,0.034482758620689655,3.0764740375300255,0.1060853116389664
2,beholden,1,0.034482758620689655,5.0689042022202315,0.1747898000765597
2,defend,1,0.034482758620689655,4.781222129768451,0.16486972861270519
2,educ,2,0.06896551724137931,1.8108076641987494,0.12488328718612064
2,expand,1,0.034482758620689655,5.0689042022202315,0.1747898000765597
2,feder,2,0.06896551724137931,2.1244652230537913,0.14651484296922698
2,front,1,0.034482758620689655,5.474369310328396,0.1887713555285654
2,fund,1,0.034482758620689655,2.1972245773362196,0.07576636473573171
2,institut,1,0.034482758620689655,1.33920275358604,0.04617940529607034
2,integr,1,0.034482758620689655,3.5284591612730827,0.12167100556114079
2,intensifi,1,0.034482758620689655,6.1675164908883415,0.21267298244442556
2,issu,1,0.034482758620689655,3.6025671334268043,0.12422645287678635
2,line,1,0.034482758620689655,3.6826098411003407,0.12698654624483932
2,neutral,2,0.06896551724137931,1.5523959740470816,0.10706179131359184
2,oper,1,0.034482758620689655,4.375757021660286,0.15088817316069952
2,polit,1,0.034482758620689655,1.9190212488389822,0.06617314651168904
2,protect,1,0.034482758620689655,2.800220660901867,0.09655933313454713
2,school,1,0.034482758620689655,2.8353119807131373,0.0977693786452806
2,simpl,1,0.034482758620689655,6.1675164908883415,0.21267298244442556
2,term,1,0.034482758620689655,2.8716796248840124,0.09902343534082801
2,threat,1,0.034482758620689655,3.769621218089971,0.12998693855482657
2,understand,1,0.034482758620689655,4.558078578454241,0.15717512339497383
2,violat,1,0.034482758620689655,2.7017805880886145,0.09316484786512463
3,languag,1,0.5,3.6025671334268043,1.8012835667134022
3,vagu,1,0.5,3.0320222749591914,1.5160111374795957
4,nonsens,1,1,5.474369310328396,5.474369310328396
5,control,1,0.25,2.5299303311619554,0.6324825827904889
5,express,1,0.25,2.9486406660201405,0.7371601665050351
5,polit,1,0.25,1.9190212488389822,0.47975531220974554
5,view,1,0.25,2.9486406660201405,0.7371601665050351
6,american,1,0.09090909090909091,3.0764740375300255,0.27967945795727506
6,complet,1,0.09090909090909091,3.459466289786131,0.3144969354351028
6,detriment,1,0.09090909090909091,5.474369310328396,0.49766993730258147
6,dictatorship,1,0.09090909090909091,4.781222129768451,0.43465655725167734
6,free,1,0.09090909090909091,1.7486758830917433,0.15897053482652213
6,isn’t,1,0.09090909090909091,5.0689042022202315,0.46080947292911195
6,societi,1,0.09090909090909091,5.474369310328396,0.49766993730258147
6,speech,1,0.09090909090909091,1.6788801211562014,0.15262546555965467
6,stuff,1,0.09090909090909091,4.781222129768451,0.43465655725167734
6,that’,1,0.09090909090909091,4.781222129768451,0.43465655725167734
6,utterli,1,0.09090909090909091,6.1675164908883415,0.5606833173534856
7,bodi,1,0.058823529411764705,3.0764740375300255,0.18096906103117796
7,campu,1,0.058823529411764705,2.3388750943992465,0.13758088790583803
7,commun,1,0.058823529411764705,2.583997552432231,0.15199985602542537
7,compact,1,0.058823529411764705,1.1502366540734168,0.06766097965137746
7,context,1,0.058823529411764705,5.474369310328396,0.32202172413696445
7,contradictori,1,0.058823529411764705,5.0689042022202315,0.2981708354247195
7,cornerston,1,0.058823529411764705,6.1675164908883415,0.3627950876993142
7,dialogu,1,0.058823529411764705,3.5284591612730827,0.20755642125135781
7,ideologi,1,0.058823529411764705,3.1717842173343502,0.18657554219613826
7,inclus,1,0.058823529411764705,3.334303146832125,0.1961354792254191
7,inher,1,0.058823529411764705,4.375757021660286,0.2573974718623698
7,intent,1,0.058823529411764705,4.375757021660286,0.2573974718623698
7,polit,1,0.058823529411764705,1.9190212488389822,0.11288360287288131
7,safe,1,0.058823529411764705,3.8649313978942956,0.22734890575848798
7,student,1,0.058823529411764705,1.1370785694959058,0.06688697467622975
